"","Port","Date","Ticker","Amount","Cost","FxCost"
"1","DF Equity",2018-11-02,"EUR Curncy",23316974.75,1,1
"2","DF Equity",2018-11-05,"ABBN SW Equity",25700,20.49464,0.872654
"3","DF Equity",2018-11-05,"AD NA Equity",22800,20.45862,1
"4","DF Equity",2018-11-05,"AKE FP Equity",4800,95.46787,1
"5","DF Equity",2018-11-05,"AMAT US Equity",15000,34.28,0.87927
"6","DF Equity",2018-11-05,"ASML NA Equity",3000,149.8677,1
"7","DF Equity",2018-11-05,"ATCOA SS Equity",20700,230.3927,0.096749
"8","DF Equity",2018-11-05,"BAS GR Equity",6600,69.33035,1
"9","DF Equity",2018-11-05,"BESI NA Equity",11600,19.79,1
"10","DF Equity",2018-11-05,"BLK US Equity",1200,410.28,0.87812
"11","DF Equity",2018-11-05,"BMW GR Equity",2900,77.85,1
"12","DF Equity",2018-11-05,"BMY US Equity",5100,51.53,0.87816
"13","DF Equity",2018-11-05,"BNP FP Equity",9900,46.87,1
"14","DF Equity",2018-11-05,"BOL SS Equity",21900,212.47,0.09685
"15","DF Equity",2018-11-05,"C US Equity",4000,66.8,0.87816
"16","DF Equity",2018-11-05,"CE US Equity",5200,101.62,0.87811
"17","DF Equity",2018-11-05,"CSCO US Equity",5800,45.62,0.87816
"18","DF Equity",2018-11-05,"CSGN sw Equity",20500,12.9,0.87439
"19","DF Equity",2018-11-05,"DAI GR Equity",8700,53.19,1
"20","DF Equity",2018-11-05,"DSY FP Equity",2100,107.76,1
"21","DF Equity",2018-11-05,"DWNI GR Equity",11500,40.05,1
"22","DF Equity",2018-11-05,"ENEL IM Equity",52800,4.43,1
"23","DF Equity",2018-11-05,"ETN US Equity",7200,73.76,0.87811
"24","DF Equity",2018-11-05,"EUR Curncy",2838692,1,1
"25","DF Equity",2018-11-05,"FTI FP Equity",20000,23.35,1
"26","DF Equity",2018-11-05,"GILD US Equity",7600,69.58,0.87811
"27","DF Equity",2018-11-05,"GLW US Equity",16000,32.79,0.87812
"28","DF Equity",2018-11-05,"GM US Equity",7300,36.26,0.87816
"29","DF Equity",2018-11-05,"GS US Equity",2300,228.47,0.87811
"30","DF Equity",2018-11-05,"IBE SM Equity",74000,6.63,1
"31","DF Equity",2018-11-05,"INTC US Equity",11100,47.25,0.87812
"32","DF Equity",2018-11-05,"JPM US Equity",2400,109.03,0.87816
"33","DF Equity",2018-11-05,"KLAC US Equity",5600,92.2,0.87811
"34","DF Equity",2018-11-05,"LI FP Equity",7700,29.98,1
"35","DF Equity",2018-11-05,"LRCX US Equity",3400,146.74,0.87812
"36","DF Equity",2018-11-05,"LYB US Equity",5700,93.22,0.87811
"37","DF Equity",2018-11-05,"MS US Equity",11500,46.08,0.87811
"38","DF Equity",2018-11-05,"MSFT US Equity",5000,106.5,0.87811
"39","DF Equity",2018-11-05,"NHY NO Equity",48800,45.17,0.10515
"40","DF Equity",2018-11-05,"NOVOB DC Equity",12100,283.54,0.13413
"41","DF Equity",2018-11-05,"PCAR US Equity",9000,58.48,0.87811
"42","DF Equity",2018-11-05,"PFE US Equity",6100,43.41,0.87816
"43","DF Equity",2018-11-05,"PNDORA DC Equity",4000,390.22,0.13413
"44","DF Equity",2018-11-05,"QCOM US Equity",4100,63.1,0.87816
"45","DF Equity",2018-11-05,"RDSA NA Equity",16900,27.87,1
"46","DF Equity",2018-11-05,"REE SM Equity",12700,18.32,1
"47","DF Equity",2018-11-05,"RNO FP Equity",6900,66.1,1
"48","DF Equity",2018-11-05,"RTN US Equity",1400,183.49,0.87816
"49","DF Equity",2018-11-05,"RWE GR Equity",26200,17.88,1
"50","DF Equity",2018-11-05,"SIE GR Equity",4500,103.17,1
"51","DF Equity",2018-11-05,"SLB US Equity",10300,52.02,0.87811
"52","DF Equity",2018-11-05,"T US Equity",17300,30.76,0.87811
"53","DF Equity",2018-11-05,"TAP US Equity",8400,63.29,0.87811
"54","DF Equity",2018-11-05,"VOW3 Gr Equity",1400,155.39,1
"55","DF Equity",2018-11-05,"WPP LN Equity",22300,905,1.14442
"56","DF Equity",2018-11-05,"XOM US Equity",6500,81.95,0.87811
"57","DF Equity",2018-11-07,"ABBN SW Equity",25700,20.49464,0.872654
"58","DF Equity",2018-11-07,"AD NA Equity",22800,20.45862,1
"59","DF Equity",2018-11-07,"AKE FP Equity",4800,95.46787,1
"60","DF Equity",2018-11-07,"AMAT US Equity",15000,34.28,0.87927
"61","DF Equity",2018-11-07,"ASML NA Equity",3000,149.8677,1
"62","DF Equity",2018-11-07,"ATCOA SS Equity",20700,230.3927,0.096749
"63","DF Equity",2018-11-07,"BAS GR Equity",6600,69.33035,1
"64","DF Equity",2018-11-07,"BESI NA Equity",11600,19.79,1
"65","DF Equity",2018-11-07,"BLK US Equity",1200,410.28,0.87812
"66","DF Equity",2018-11-07,"BMW GR Equity",2900,77.85,1
"67","DF Equity",2018-11-07,"BMY US Equity",5100,51.53,0.87816
"68","DF Equity",2018-11-07,"BNP FP Equity",9900,46.87,1
"69","DF Equity",2018-11-07,"BOL SS Equity",21900,212.47,0.09685
"70","DF Equity",2018-11-07,"C US Equity",4000,66.8,0.87816
"71","DF Equity",2018-11-07,"CE US Equity",5200,101.62,0.87811
"72","DF Equity",2018-11-07,"CSCO US Equity",5800,45.62,0.87816
"73","DF Equity",2018-11-07,"CSGN sw Equity",20500,12.9,0.87439
"74","DF Equity",2018-11-07,"DAI GR Equity",8700,53.19,1
"75","DF Equity",2018-11-07,"DSY FP Equity",2100,107.76,1
"76","DF Equity",2018-11-07,"DWNI GR Equity",11500,40.05,1
"77","DF Equity",2018-11-07,"ENEL IM Equity",52800,4.43,1
"78","DF Equity",2018-11-07,"ETN US Equity",7200,73.76,0.87811
"79","DF Equity",2018-11-07,"EUR Curncy",1936507,1,1
"80","DF Equity",2018-11-07,"FTI FP Equity",20000,23.35,1
"81","DF Equity",2018-11-07,"GILD US Equity",7600,69.58,0.87811
"82","DF Equity",2018-11-07,"GLW US Equity",16000,32.79,0.87812
"83","DF Equity",2018-11-07,"GM US Equity",7300,36.26,0.87816
"84","DF Equity",2018-11-07,"GS US Equity",2300,228.47,0.87811
"85","DF Equity",2018-11-07,"IBE SM Equity",74000,6.63,1
"86","DF Equity",2018-11-07,"INTC US Equity",11100,47.25,0.87812
"87","DF Equity",2018-11-07,"JPM US Equity",2400,109.03,0.87816
"88","DF Equity",2018-11-07,"KLAC US Equity",5600,92.2,0.87811
"89","DF Equity",2018-11-07,"LI FP Equity",7700,29.98,1
"90","DF Equity",2018-11-07,"LRCX US Equity",3400,146.74,0.87812
"91","DF Equity",2018-11-07,"LYB US Equity",5700,93.22,0.87811
"92","DF Equity",2018-11-07,"MS US Equity",11500,46.08,0.87811
"93","DF Equity",2018-11-07,"MSFT US Equity",5000,106.5,0.87811
"94","DF Equity",2018-11-07,"NHY NO Equity",48800,45.17,0.10515
"95","DF Equity",2018-11-07,"NOVOB DC Equity",12100,283.54,0.13413
"96","DF Equity",2018-11-07,"PCAR US Equity",9000,58.48,0.87811
"97","DF Equity",2018-11-07,"PFE US Equity",6100,43.41,0.87816
"98","DF Equity",2018-11-07,"PNDORA DC Equity",4000,390.22,0.13413
"99","DF Equity",2018-11-07,"QCOM US Equity",4100,63.1,0.87816
"100","DF Equity",2018-11-07,"RDSA NA Equity",16900,27.87,1
"101","DF Equity",2018-11-07,"REE SM Equity",12700,18.32,1
"102","DF Equity",2018-11-07,"RNO FP Equity",6900,66.1,1
"103","DF Equity",2018-11-07,"RTN US Equity",1400,183.49,0.87816
"104","DF Equity",2018-11-07,"RWE GR Equity",26200,17.88,1
"105","DF Equity",2018-11-07,"SIE GR Equity",4500,103.17,1
"106","DF Equity",2018-11-07,"SLB US Equity",10300,52.02,0.87811
"107","DF Equity",2018-11-07,"T US Equity",17300,30.76,0.87811
"108","DF Equity",2018-11-07,"TAP US Equity",8400,63.29,0.87811
"109","DF Equity",2018-11-07,"TFCFR1E LX Equity",9433.96,95.4,1
"110","DF Equity",2018-11-07,"VOW3 Gr Equity",1400,155.39,1
"111","DF Equity",2018-11-07,"WPP LN Equity",22300,905,1.14442
"112","DF Equity",2018-11-07,"XOM US Equity",6500,81.95,0.87811
"113","DF Equity",2018-11-09,"ABBN SW Equity",25700,20.49464,0.872654
"114","DF Equity",2018-11-09,"AD NA Equity",22800,20.45862,1
"115","DF Equity",2018-11-09,"AKE FP Equity",4800,95.46787,1
"116","DF Equity",2018-11-09,"AMAT US Equity",15000,34.28,0.87927
"117","DF Equity",2018-11-09,"ASML NA Equity",3000,149.8677,1
"118","DF Equity",2018-11-09,"ATCOA SS Equity",20700,230.3927,0.096749
"119","DF Equity",2018-11-09,"BAS GR Equity",6600,69.33035,1
"120","DF Equity",2018-11-09,"BESI NA Equity",11600,19.79,1
"121","DF Equity",2018-11-09,"BLK US Equity",1200,410.28,0.87812
"122","DF Equity",2018-11-09,"BMW GR Equity",2900,77.85,1
"123","DF Equity",2018-11-09,"BMY US Equity",5100,51.53,0.87816
"124","DF Equity",2018-11-09,"BNP FP Equity",9900,46.87,1
"125","DF Equity",2018-11-09,"BOL SS Equity",21900,212.47,0.09685
"126","DF Equity",2018-11-09,"C US Equity",4000,66.8,0.87816
"127","DF Equity",2018-11-09,"CE US Equity",5200,101.62,0.87811
"128","DF Equity",2018-11-09,"CSCO US Equity",5800,45.62,0.87816
"129","DF Equity",2018-11-09,"CSGN sw Equity",20500,12.9,0.87439
"130","DF Equity",2018-11-09,"DAI GR Equity",8700,53.19,1
"131","DF Equity",2018-11-09,"DSY FP Equity",2100,107.76,1
"132","DF Equity",2018-11-09,"DWNI GR Equity",11500,40.05,1
"133","DF Equity",2018-11-09,"ENEL IM Equity",52800,4.43,1
"134","DF Equity",2018-11-09,"ETN US Equity",7200,73.76,0.87811
"135","DF Equity",2018-11-09,"EUR Curncy",2286507,1,1
"136","DF Equity",2018-11-09,"FTI FP Equity",20000,23.35,1
"137","DF Equity",2018-11-09,"GILD US Equity",7600,69.58,0.87811
"138","DF Equity",2018-11-09,"GLW US Equity",16000,32.79,0.87812
"139","DF Equity",2018-11-09,"GM US Equity",7300,36.26,0.87816
"140","DF Equity",2018-11-09,"GS US Equity",2300,228.47,0.87811
"141","DF Equity",2018-11-09,"IBE SM Equity",74000,6.63,1
"142","DF Equity",2018-11-09,"INTC US Equity",11100,47.25,0.87812
"143","DF Equity",2018-11-09,"JPM US Equity",2400,109.03,0.87816
"144","DF Equity",2018-11-09,"KLAC US Equity",5600,92.2,0.87811
"145","DF Equity",2018-11-09,"LI FP Equity",7700,29.98,1
"146","DF Equity",2018-11-09,"LRCX US Equity",3400,146.74,0.87812
"147","DF Equity",2018-11-09,"LYB US Equity",5700,93.22,0.87811
"148","DF Equity",2018-11-09,"MS US Equity",11500,46.08,0.87811
"149","DF Equity",2018-11-09,"MSFT US Equity",5000,106.5,0.87811
"150","DF Equity",2018-11-09,"NHY NO Equity",48800,45.17,0.10515
"151","DF Equity",2018-11-09,"NOVOB DC Equity",12100,283.54,0.13413
"152","DF Equity",2018-11-09,"PCAR US Equity",9000,58.48,0.87811
"153","DF Equity",2018-11-09,"PFE US Equity",6100,43.41,0.87816
"154","DF Equity",2018-11-09,"PNDORA DC Equity",4000,390.22,0.13413
"155","DF Equity",2018-11-09,"QCOM US Equity",4100,63.1,0.87816
"156","DF Equity",2018-11-09,"RDSA NA Equity",16900,27.87,1
"157","DF Equity",2018-11-09,"REE SM Equity",12700,18.32,1
"158","DF Equity",2018-11-09,"RNO FP Equity",6900,66.1,1
"159","DF Equity",2018-11-09,"RTN US Equity",1400,183.49,0.87816
"160","DF Equity",2018-11-09,"RWE GR Equity",26200,17.88,1
"161","DF Equity",2018-11-09,"SIE GR Equity",4500,103.17,1
"162","DF Equity",2018-11-09,"SLB US Equity",10300,52.02,0.87811
"163","DF Equity",2018-11-09,"T US Equity",17300,30.76,0.87811
"164","DF Equity",2018-11-09,"TAP US Equity",8400,63.29,0.87811
"165","DF Equity",2018-11-09,"TFCFR1E LX Equity",9433.96,95.4,1
"166","DF Equity",2018-11-09,"VOW3 Gr Equity",1400,155.39,1
"167","DF Equity",2018-11-09,"WPP LN Equity",22300,905,1.14442
"168","DF Equity",2018-11-09,"XOM US Equity",6500,81.95,0.87811
